TARGET_FID,Img,target_x,target_y,label,path,no_coor,split
258,22093da9-d7d9-41a6-a8b5-4f86c058c6d4.jpg,0,0,asparagus,data/predata\asparagus\22093da9-d7d9-41a6-a8b5-4f86c058c6d4.jpg,True,train
271,238b9426-633a-4fb7-b75d-90714b4c24ca.jpg,0,0,asparagus,data/predata\asparagus\238b9426-633a-4fb7-b75d-90714b4c24ca.jpg,True,train
276,24709412-0012-468c-9353-2b495a727d31.jpg,0,0,asparagus,data/predata\asparagus\24709412-0012-468c-9353-2b495a727d31.jpg,True,train
282,25a153f5-8439-4310-b819-068cc696a228.jpg,0,0,asparagus,data/predata\asparagus\25a153f5-8439-4310-b819-068cc696a228.jpg,True,train
287,25eaa6d8-bd7a-4254-9a5e-bdf87797bd8f.jpg,0,0,asparagus,data/predata\asparagus\25eaa6d8-bd7a-4254-9a5e-bdf87797bd8f.jpg,True,train
300,27f687b2-8d97-41e9-9f45-9e4ffb573bd2.jpg,0,0,asparagus,data/predata\asparagus\27f687b2-8d97-41e9-9f45-9e4ffb573bd2.jpg,True,train
304,290e56cf-e50f-4dc7-803f-bbb8d16abc19.jpg,0,0,asparagus,data/predata\asparagus\290e56cf-e50f-4dc7-803f-bbb8d16abc19.jpg,True,val
312,29bb8028-bdfc-484e-b555-3cbedd04e522.jpg,0,0,asparagus,data/predata\asparagus\29bb8028-bdfc-484e-b555-3cbedd04e522.jpg,True,train
385,3184847e-39f0-49b2-a002-abc4588f90c5.jpg,0,0,asparagus,data/predata\asparagus\3184847e-39f0-49b2-a002-abc4588f90c5.jpg,True,train
392,32f0eaa5-2ffb-40b0-bfe6-b323a1645430.jpg,0,0,asparagus,data/predata\asparagus\32f0eaa5-2ffb-40b0-bfe6-b323a1645430.jpg,True,train
395,34102b13-f609-4899-bf2a-891ed1a93c16.jpg,0,0,asparagus,data/predata\asparagus\34102b13-f609-4899-bf2a-891ed1a93c16.jpg,True,test
400,3478a7a3-4f93-4afd-97aa-a13364a5b2d7.jpg,0,-102,asparagus,data/predata\asparagus\3478a7a3-4f93-4afd-97aa-a13364a5b2d7.jpg,False,test
407,362884d9-97d2-4c60-a5f4-c69bae638f34.jpg,0,0,asparagus,data/predata\asparagus\362884d9-97d2-4c60-a5f4-c69bae638f34.jpg,True,test
410,3678a068-838e-4810-aba8-d0a752b2776d.jpg,0,0,asparagus,data/predata\asparagus\3678a068-838e-4810-aba8-d0a752b2776d.jpg,True,train
413,36f0bfd3-3666-48bc-9cad-4eb928efdaee.jpg,0,-144,asparagus,data/predata\asparagus\36f0bfd3-3666-48bc-9cad-4eb928efdaee.jpg,False,train
429,3a3760e1-6f61-4075-a4d1-a0e5115b05d7.jpg,0,0,asparagus,data/predata\asparagus\3a3760e1-6f61-4075-a4d1-a0e5115b05d7.jpg,True,train
461,3e2bd126-684b-46c6-b77c-3446036d65a8.jpg,0,0,asparagus,data/predata\asparagus\3e2bd126-684b-46c6-b77c-3446036d65a8.jpg,True,train
464,3e832d87-c33f-460b-b775-bf6adfc9d75d.jpg,0,0,asparagus,data/predata\asparagus\3e832d87-c33f-460b-b775-bf6adfc9d75d.jpg,True,train
469,3f00871f-8e7e-4864-b71b-1e552fab7efb.jpg,0,0,asparagus,data/predata\asparagus\3f00871f-8e7e-4864-b71b-1e552fab7efb.jpg,True,train
472,3f8dc596-b473-46e3-adbb-1425c8eeedf5.jpg,0,0,asparagus,data/predata\asparagus\3f8dc596-b473-46e3-adbb-1425c8eeedf5.jpg,True,train
485,40c6159e-49a2-4c82-9794-c8708dcf2c89.jpg,0,-128,asparagus,data/predata\asparagus\40c6159e-49a2-4c82-9794-c8708dcf2c89.jpg,False,test
489,40e86702-105b-4e3e-9f55-ca319e222d32.jpg,0,0,asparagus,data/predata\asparagus\40e86702-105b-4e3e-9f55-ca319e222d32.jpg,True,train
490,40f687e3-1f57-45d9-954c-ab158660eb55.jpg,0,0,asparagus,data/predata\asparagus\40f687e3-1f57-45d9-954c-ab158660eb55.jpg,True,train
507,42de61b2-9b9d-4639-9b76-c0ccd7d399b6.jpg,0,0,asparagus,data/predata\asparagus\42de61b2-9b9d-4639-9b76-c0ccd7d399b6.jpg,True,test
520,445c3724-0e45-4176-bd03-df063f7dbf9a.jpg,0,0,asparagus,data/predata\asparagus\445c3724-0e45-4176-bd03-df063f7dbf9a.jpg,True,train
522,449934df-c0a9-4d69-8486-8130978ede60.jpg,0,0,asparagus,data/predata\asparagus\449934df-c0a9-4d69-8486-8130978ede60.jpg,True,train
529,4547bb2c-e5fa-4050-b34e-5f9981a343c5.jpg,0,-144,asparagus,data/predata\asparagus\4547bb2c-e5fa-4050-b34e-5f9981a343c5.jpg,False,test
532,45742e84-b601-4041-b221-2239c4241883.jpg,0,0,asparagus,data/predata\asparagus\45742e84-b601-4041-b221-2239c4241883.jpg,True,train
544,46a5f074-2bf6-492a-b034-0562fba9ef82.jpg,0,0,asparagus,data/predata\asparagus\46a5f074-2bf6-492a-b034-0562fba9ef82.jpg,True,train
546,47016ef0-0260-4ee2-8899-5573ce1ae71b.jpg,0,0,asparagus,data/predata\asparagus\47016ef0-0260-4ee2-8899-5573ce1ae71b.jpg,True,train
568,49f576f0-c618-4c8d-83d4-2d3406ad17f7.jpg,0,0,asparagus,data/predata\asparagus\49f576f0-c618-4c8d-83d4-2d3406ad17f7.jpg,True,test
583,4c73391a-4fee-49b1-9841-474c66f8612f.jpg,0,0,asparagus,data/predata\asparagus\4c73391a-4fee-49b1-9841-474c66f8612f.jpg,True,train
587,4d54439f-66b5-4e62-a4db-825a39d712ba.jpg,0,0,asparagus,data/predata\asparagus\4d54439f-66b5-4e62-a4db-825a39d712ba.jpg,True,test
597,4e50f703-4ed9-4398-a761-2a46409ae54b.jpg,0,0,asparagus,data/predata\asparagus\4e50f703-4ed9-4398-a761-2a46409ae54b.jpg,True,test
604,4f646784-97ba-4eac-9d75-37927ce11372.jpg,0,0,asparagus,data/predata\asparagus\4f646784-97ba-4eac-9d75-37927ce11372.jpg,True,train
605,4f85cf18-e1e2-43a3-8df7-e4306b3c4202.jpg,0,0,asparagus,data/predata\asparagus\4f85cf18-e1e2-43a3-8df7-e4306b3c4202.jpg,True,train
607,4ffb90ed-603a-410e-80e2-076581542a1a.jpg,0,0,asparagus,data/predata\asparagus\4ffb90ed-603a-410e-80e2-076581542a1a.jpg,True,test
624,52b56204-6249-41fa-b74e-94af626606ae.jpg,0,0,asparagus,data/predata\asparagus\52b56204-6249-41fa-b74e-94af626606ae.jpg,True,train
641,545e21b9-946e-45dd-ba2e-ff128f7acdb2.jpg,0,0,asparagus,data/predata\asparagus\545e21b9-946e-45dd-ba2e-ff128f7acdb2.jpg,True,train
645,54a956ac-db04-4ef9-8c28-691cde9bb5fb.jpg,0,0,asparagus,data/predata\asparagus\54a956ac-db04-4ef9-8c28-691cde9bb5fb.jpg,True,train
662,58dd1325-8b26-40d5-9485-bc74bfddbf5b.jpg,0,0,asparagus,data/predata\asparagus\58dd1325-8b26-40d5-9485-bc74bfddbf5b.jpg,True,train
666,591a00ae-48a4-47c9-9255-dd4aca6bd65f.jpg,0,-144,asparagus,data/predata\asparagus\591a00ae-48a4-47c9-9255-dd4aca6bd65f.jpg,False,train
677,5a4651a8-97c3-4e0e-8c48-4ee0ce46b788.jpg,0,0,asparagus,data/predata\asparagus\5a4651a8-97c3-4e0e-8c48-4ee0ce46b788.jpg,True,train
679,5a51c8ad-42b6-4628-b3a7-2ac34b4bcf26.jpg,0,0,asparagus,data/predata\asparagus\5a51c8ad-42b6-4628-b3a7-2ac34b4bcf26.jpg,True,train
687,5af0f8fc-ad4b-4d83-961f-2e886ca35b78.jpg,0,-144,asparagus,data/predata\asparagus\5af0f8fc-ad4b-4d83-961f-2e886ca35b78.jpg,False,train
688,5afc4fbd-2ef5-43e0-b696-8109172f8175.jpg,0,0,asparagus,data/predata\asparagus\5afc4fbd-2ef5-43e0-b696-8109172f8175.jpg,True,train
698,5c88adee-317d-49ec-a1c5-40f6f142d9b9.jpg,0,0,asparagus,data/predata\asparagus\5c88adee-317d-49ec-a1c5-40f6f142d9b9.jpg,True,val
699,5cc4dbe9-5ef8-492f-8c77-660affadbd84.jpg,0,-144,asparagus,data/predata\asparagus\5cc4dbe9-5ef8-492f-8c77-660affadbd84.jpg,False,train
701,5d18ec39-03ce-4793-bad7-7616b1e7459f.jpg,0,0,asparagus,data/predata\asparagus\5d18ec39-03ce-4793-bad7-7616b1e7459f.jpg,True,train
731,607509c8-62ed-40a9-919e-7971284c89fc.jpg,0,0,asparagus,data/predata\asparagus\607509c8-62ed-40a9-919e-7971284c89fc.jpg,True,train
741,61504824-50c8-4909-b1e6-81447ab0d664.jpg,0,0,asparagus,data/predata\asparagus\61504824-50c8-4909-b1e6-81447ab0d664.jpg,True,test
750,621469c2-f83f-446e-ad24-af15b70950eb.jpg,0,0,asparagus,data/predata\asparagus\621469c2-f83f-446e-ad24-af15b70950eb.jpg,True,train
762,62f22d9f-f84d-48f0-9a74-b9140c87e732.jpg,0,0,asparagus,data/predata\asparagus\62f22d9f-f84d-48f0-9a74-b9140c87e732.jpg,True,test
763,62f252fb-2d82-4cfc-acff-f6f8ae12b545.jpg,0,0,asparagus,data/predata\asparagus\62f252fb-2d82-4cfc-acff-f6f8ae12b545.jpg,True,train
765,6333ea5d-a0ae-4c3e-86fd-0ab5c78edcd9.jpg,0,0,asparagus,data/predata\asparagus\6333ea5d-a0ae-4c3e-86fd-0ab5c78edcd9.jpg,True,val
767,6367ec92-dd6b-4af5-a548-63d7a3b8914f.jpg,0,0,asparagus,data/predata\asparagus\6367ec92-dd6b-4af5-a548-63d7a3b8914f.jpg,True,train
774,64106d8d-7d8c-4232-80bd-997e177d987c.jpg,0,0,asparagus,data/predata\asparagus\64106d8d-7d8c-4232-80bd-997e177d987c.jpg,True,train
777,642c074d-37b0-4d08-9a1e-3e06fc1e2db4.jpg,0,0,asparagus,data/predata\asparagus\642c074d-37b0-4d08-9a1e-3e06fc1e2db4.jpg,True,train
782,64be6d16-190c-4f25-9df2-2814ec5b06db.jpg,0,0,asparagus,data/predata\asparagus\64be6d16-190c-4f25-9df2-2814ec5b06db.jpg,True,train
814,67dc914c-31a0-44ec-a720-4a02c41c9874.jpg,0,0,asparagus,data/predata\asparagus\67dc914c-31a0-44ec-a720-4a02c41c9874.jpg,True,train
822,6934a815-aefd-4149-aa88-2947741477a3.jpg,0,0,asparagus,data/predata\asparagus\6934a815-aefd-4149-aa88-2947741477a3.jpg,True,test
826,69722801-4610-4ebd-9783-4ea9a382c4cb.jpg,0,0,asparagus,data/predata\asparagus\69722801-4610-4ebd-9783-4ea9a382c4cb.jpg,True,test
827,698b0a50-e131-4ed2-a9cb-dd25a6047226.jpg,0,0,asparagus,data/predata\asparagus\698b0a50-e131-4ed2-a9cb-dd25a6047226.jpg,True,train
833,6a57a826-dfe7-4094-9267-4d80f8993d9e.jpg,0,0,asparagus,data/predata\asparagus\6a57a826-dfe7-4094-9267-4d80f8993d9e.jpg,True,test
835,6a859b6c-c33d-4afa-bbda-993b2a8ee36f.jpg,0,0,asparagus,data/predata\asparagus\6a859b6c-c33d-4afa-bbda-993b2a8ee36f.jpg,True,val
854,6d67a2c6-726e-4cca-857e-7af62479f11e.jpg,0,0,asparagus,data/predata\asparagus\6d67a2c6-726e-4cca-857e-7af62479f11e.jpg,True,test
877,705dcc8e-7146-41eb-8530-711f5cc1031f.jpg,0,0,asparagus,data/predata\asparagus\705dcc8e-7146-41eb-8530-711f5cc1031f.jpg,True,train
879,709df51c-648d-4b20-956c-91879826f574.jpg,0,-144,asparagus,data/predata\asparagus\709df51c-648d-4b20-956c-91879826f574.jpg,False,train
893,721cb5f6-210d-4850-87d7-f1b0f0efccae.jpg,0,-144,asparagus,data/predata\asparagus\721cb5f6-210d-4850-87d7-f1b0f0efccae.jpg,False,train
915,757a6e42-8863-4dfc-8966-6ac81136cb85.jpg,0,0,asparagus,data/predata\asparagus\757a6e42-8863-4dfc-8966-6ac81136cb85.jpg,True,train
929,770827d1-3216-4f32-aa69-168dd347cd22.jpg,0,0,asparagus,data/predata\asparagus\770827d1-3216-4f32-aa69-168dd347cd22.jpg,True,train
943,789d003c-9bfb-49e1-abd8-aa436730ea94.jpg,0,0,asparagus,data/predata\asparagus\789d003c-9bfb-49e1-abd8-aa436730ea94.jpg,True,test
963,7bf7a1f7-f27c-4daa-a47a-666126eeed49.jpg,0,0,asparagus,data/predata\asparagus\7bf7a1f7-f27c-4daa-a47a-666126eeed49.jpg,True,test
966,7c61240a-b8f7-45a8-b99c-8497c8606ae4.jpg,0,0,asparagus,data/predata\asparagus\7c61240a-b8f7-45a8-b99c-8497c8606ae4.jpg,True,train
971,7d6780a8-2ce1-49c0-b275-e9b981b7a0cd.jpg,0,0,asparagus,data/predata\asparagus\7d6780a8-2ce1-49c0-b275-e9b981b7a0cd.jpg,True,train
978,7e253ce9-c65a-4414-b2f9-ff837bac6179.jpg,0,0,asparagus,data/predata\asparagus\7e253ce9-c65a-4414-b2f9-ff837bac6179.jpg,True,train
980,7e586248-d293-4e4c-bff2-e164000725e6.jpg,0,0,asparagus,data/predata\asparagus\7e586248-d293-4e4c-bff2-e164000725e6.jpg,True,val
992,808567e3-225c-4dd8-ba36-ea38d803b985.jpg,0,-144,asparagus,data/predata\asparagus\808567e3-225c-4dd8-ba36-ea38d803b985.jpg,False,val
1031,8583cebb-52ee-4257-9b5e-a617d1afb2a4.jpg,0,0,asparagus,data/predata\asparagus\8583cebb-52ee-4257-9b5e-a617d1afb2a4.jpg,True,train
1045,876e72ca-2487-4fca-a6d3-d79f3ee3affb.jpg,0,0,asparagus,data/predata\asparagus\876e72ca-2487-4fca-a6d3-d79f3ee3affb.jpg,True,test
1046,8788557d-f388-41b4-a0c5-3d25b9fb7ec6.jpg,0,-144,asparagus,data/predata\asparagus\8788557d-f388-41b4-a0c5-3d25b9fb7ec6.jpg,False,train
1047,879b3097-1d9d-4548-9303-d72887cf7271.jpg,7,307,asparagus,data/predata\asparagus\879b3097-1d9d-4548-9303-d72887cf7271.jpg,False,train
1053,88905994-2b4c-401e-bbdd-3c37860daac0.jpg,0,0,asparagus,data/predata\asparagus\88905994-2b4c-401e-bbdd-3c37860daac0.jpg,True,train
1058,890997df-4c7a-42b3-a675-2af37639b714.jpg,0,0,asparagus,data/predata\asparagus\890997df-4c7a-42b3-a675-2af37639b714.jpg,True,test
1085,8c4ad3c3-d4d0-499d-8216-47edd73899c5.jpg,0,0,asparagus,data/predata\asparagus\8c4ad3c3-d4d0-499d-8216-47edd73899c5.jpg,True,test
1103,8eabc5ce-9d7b-4505-9b66-ae73b4da192d.jpg,0,-144,asparagus,data/predata\asparagus\8eabc5ce-9d7b-4505-9b66-ae73b4da192d.jpg,False,val
1122,91192b6e-347f-4836-b153-6c9852ac3d91.jpg,0,0,asparagus,data/predata\asparagus\91192b6e-347f-4836-b153-6c9852ac3d91.jpg,True,train
1149,94b6c639-f953-427f-9f74-71ed150140f4.jpg,0,0,asparagus,data/predata\asparagus\94b6c639-f953-427f-9f74-71ed150140f4.jpg,True,val
1151,94ef2fcc-69b1-43e5-b425-4f5e1acf9cc3.jpg,0,0,asparagus,data/predata\asparagus\94ef2fcc-69b1-43e5-b425-4f5e1acf9cc3.jpg,True,train
1154,957bb048-73bf-47d5-ae3e-1f0d2e7a29ce.jpg,0,0,asparagus,data/predata\asparagus\957bb048-73bf-47d5-ae3e-1f0d2e7a29ce.jpg,True,val
1157,95b7ee5a-20d5-400b-b1e4-aa24e1ffde78.jpg,0,0,asparagus,data/predata\asparagus\95b7ee5a-20d5-400b-b1e4-aa24e1ffde78.jpg,True,train
1159,95f4c775-5809-46df-8f93-217b5d9b6e84.jpg,0,0,asparagus,data/predata\asparagus\95f4c775-5809-46df-8f93-217b5d9b6e84.jpg,True,train
1165,96dcea9c-2dee-4544-bdc4-41e3e04390f4.jpg,0,0,asparagus,data/predata\asparagus\96dcea9c-2dee-4544-bdc4-41e3e04390f4.jpg,True,train
1175,98261218-d033-4759-bdb1-be88e5d3093a.jpg,0,-116,asparagus,data/predata\asparagus\98261218-d033-4759-bdb1-be88e5d3093a.jpg,False,train
1180,98c28295-3ef5-496e-8bc9-01b90cb13537.jpg,0,0,asparagus,data/predata\asparagus\98c28295-3ef5-496e-8bc9-01b90cb13537.jpg,True,train
1190,9a319bec-d0a6-44d0-8715-5d947f0c8569.jpg,0,0,asparagus,data/predata\asparagus\9a319bec-d0a6-44d0-8715-5d947f0c8569.jpg,True,train
1195,9abd73b3-492c-4efd-92e7-b5efc3863793.jpg,0,0,asparagus,data/predata\asparagus\9abd73b3-492c-4efd-92e7-b5efc3863793.jpg,True,val
1197,9ad0fe09-edea-432c-9800-3941c866bc4c.jpg,0,0,asparagus,data/predata\asparagus\9ad0fe09-edea-432c-9800-3941c866bc4c.jpg,True,train
1201,9b50bde3-540e-48d8-a45d-bce8fd6dad39.jpg,0,0,asparagus,data/predata\asparagus\9b50bde3-540e-48d8-a45d-bce8fd6dad39.jpg,True,val
1205,9bdedc54-2b37-414c-8802-cadb4ab24a79.jpg,0,0,asparagus,data/predata\asparagus\9bdedc54-2b37-414c-8802-cadb4ab24a79.jpg,True,train
1213,9cf71b2c-2602-4459-96c3-f367ac436f5b.jpg,36,377,asparagus,data/predata\asparagus\9cf71b2c-2602-4459-96c3-f367ac436f5b.jpg,False,test
1235,9f701def-69c6-4b50-b5e4-b5bfd4864765.jpg,0,0,asparagus,data/predata\asparagus\9f701def-69c6-4b50-b5e4-b5bfd4864765.jpg,True,test
1238,9fb34ec3-6389-45d1-93da-573fdd7d20d8.jpg,0,0,asparagus,data/predata\asparagus\9fb34ec3-6389-45d1-93da-573fdd7d20d8.jpg,True,train
1252,a174eced-3cf6-4f2c-8b3b-5eba1d478eea.jpg,0,0,asparagus,data/predata\asparagus\a174eced-3cf6-4f2c-8b3b-5eba1d478eea.jpg,True,train
1265,a2b3b3be-1e79-4584-9c80-2afba070aa3b.jpg,0,0,asparagus,data/predata\asparagus\a2b3b3be-1e79-4584-9c80-2afba070aa3b.jpg,True,train
1269,a339811f-f892-49be-b601-f2397d8ee7c8.jpg,0,0,asparagus,data/predata\asparagus\a339811f-f892-49be-b601-f2397d8ee7c8.jpg,True,train
1298,a5b11cbd-086f-4919-b01b-7c51ae7edb05.jpg,0,0,asparagus,data/predata\asparagus\a5b11cbd-086f-4919-b01b-7c51ae7edb05.jpg,True,train
1300,a5cc1b33-77b6-4e36-9af6-0c9044e164c1.jpg,0,0,asparagus,data/predata\asparagus\a5cc1b33-77b6-4e36-9af6-0c9044e164c1.jpg,True,train
1301,a5da5425-80d2-4b7b-a651-152ce6e16e86.jpg,0,0,asparagus,data/predata\asparagus\a5da5425-80d2-4b7b-a651-152ce6e16e86.jpg,True,train
1312,a7780559-c4f1-4485-8d52-1a1f2349bc30.jpg,0,0,asparagus,data/predata\asparagus\a7780559-c4f1-4485-8d52-1a1f2349bc30.jpg,True,train
1319,a818f496-d31e-45df-a124-82397df55a1d.jpg,0,0,asparagus,data/predata\asparagus\a818f496-d31e-45df-a124-82397df55a1d.jpg,True,train
1323,a89b387a-97ba-4aa6-b84e-bb8f9690bc4c.jpg,0,0,asparagus,data/predata\asparagus\a89b387a-97ba-4aa6-b84e-bb8f9690bc4c.jpg,True,train
1331,a9cda42c-8028-40e0-bbb1-fb0e8570dbf4.jpg,0,0,asparagus,data/predata\asparagus\a9cda42c-8028-40e0-bbb1-fb0e8570dbf4.jpg,True,train
1359,ac69f677-7bf1-491d-8c64-b0673ad0e28e.jpg,0,0,asparagus,data/predata\asparagus\ac69f677-7bf1-491d-8c64-b0673ad0e28e.jpg,True,train
1362,ac89c71d-36ab-4d07-97da-4696f4cd030b.jpg,0,0,asparagus,data/predata\asparagus\ac89c71d-36ab-4d07-97da-4696f4cd030b.jpg,True,train
1371,ad602d12-87fc-4a17-89b4-34c082709e7d.jpg,0,-144,asparagus,data/predata\asparagus\ad602d12-87fc-4a17-89b4-34c082709e7d.jpg,False,val
1383,af1e3d86-aaf7-4586-b62e-0f194855342a.jpg,0,0,asparagus,data/predata\asparagus\af1e3d86-aaf7-4586-b62e-0f194855342a.jpg,True,train
1406,b18e8fee-2f0d-4efe-8b12-9f2371beee1b.jpg,0,-128,asparagus,data/predata\asparagus\b18e8fee-2f0d-4efe-8b12-9f2371beee1b.jpg,False,train
1408,b19bf007-0c87-491a-b7e6-08ada5566d13.jpg,0,0,asparagus,data/predata\asparagus\b19bf007-0c87-491a-b7e6-08ada5566d13.jpg,True,train
1421,b2ab5403-c21a-404f-be3f-46b53f5ab625.jpg,0,0,asparagus,data/predata\asparagus\b2ab5403-c21a-404f-be3f-46b53f5ab625.jpg,True,test
1424,b3162c01-aa0c-4bc3-ae8a-b4e316d99d95.jpg,0,-144,asparagus,data/predata\asparagus\b3162c01-aa0c-4bc3-ae8a-b4e316d99d95.jpg,False,test
1425,b3511a12-739c-4c1d-b2d5-b84ef3c783b9.jpg,0,0,asparagus,data/predata\asparagus\b3511a12-739c-4c1d-b2d5-b84ef3c783b9.jpg,True,train
1431,b43a6392-396d-4396-b0b2-cd73203ab1c3.jpg,0,0,asparagus,data/predata\asparagus\b43a6392-396d-4396-b0b2-cd73203ab1c3.jpg,True,train
1464,b82a1858-2e7b-4b81-8193-fb649c721e46.jpg,0,0,asparagus,data/predata\asparagus\b82a1858-2e7b-4b81-8193-fb649c721e46.jpg,True,train
1466,b86914da-5a25-49e4-b5f8-f4e5f686301a.jpg,0,0,asparagus,data/predata\asparagus\b86914da-5a25-49e4-b5f8-f4e5f686301a.jpg,True,train
1475,b94f4b87-19d8-42a4-83cc-757b42ffcac9.jpg,0,0,asparagus,data/predata\asparagus\b94f4b87-19d8-42a4-83cc-757b42ffcac9.jpg,True,train
1477,b9ad7656-821a-4251-85cd-3d59b87ad1d5.jpg,0,0,asparagus,data/predata\asparagus\b9ad7656-821a-4251-85cd-3d59b87ad1d5.jpg,True,test
1490,bb07a2f6-85ca-4772-bb30-9dbf2b7da3a6.jpg,0,0,asparagus,data/predata\asparagus\bb07a2f6-85ca-4772-bb30-9dbf2b7da3a6.jpg,True,test
1525,c0ce16dd-8c07-438c-b82b-fe1ec3f723d8.jpg,0,-102,asparagus,data/predata\asparagus\c0ce16dd-8c07-438c-b82b-fe1ec3f723d8.jpg,False,train
1528,c12108dc-cfee-4513-8a88-a2673fd204d5.jpg,0,0,asparagus,data/predata\asparagus\c12108dc-cfee-4513-8a88-a2673fd204d5.jpg,True,train
1536,c1f382e8-6328-4fa0-9118-96c3f7a5f175.jpg,0,0,asparagus,data/predata\asparagus\c1f382e8-6328-4fa0-9118-96c3f7a5f175.jpg,True,train
1538,c1ffbe9c-45e4-4ae9-8b6f-1ca01598308b.jpg,0,0,asparagus,data/predata\asparagus\c1ffbe9c-45e4-4ae9-8b6f-1ca01598308b.jpg,True,test
1549,c3833673-586c-4195-8974-2eecca19c05a.jpg,0,-144,asparagus,data/predata\asparagus\c3833673-586c-4195-8974-2eecca19c05a.jpg,False,train
1561,c4babbc3-20f0-439c-810c-2e2a917f46d6.jpg,0,-144,asparagus,data/predata\asparagus\c4babbc3-20f0-439c-810c-2e2a917f46d6.jpg,False,train
1566,c551e730-3e71-46aa-9367-bb550d9aa1b1.jpg,0,0,asparagus,data/predata\asparagus\c551e730-3e71-46aa-9367-bb550d9aa1b1.jpg,True,test
1584,c76a2154-35c2-430d-a5cd-6f6adc5ae9fc.jpg,0,0,asparagus,data/predata\asparagus\c76a2154-35c2-430d-a5cd-6f6adc5ae9fc.jpg,True,train
1592,c87dfdac-9524-4667-9bef-e80c6a47fb7b.jpg,0,0,asparagus,data/predata\asparagus\c87dfdac-9524-4667-9bef-e80c6a47fb7b.jpg,True,train
1604,ca5c1f33-233f-43fd-a977-4017a697ad7d.jpg,0,0,asparagus,data/predata\asparagus\ca5c1f33-233f-43fd-a977-4017a697ad7d.jpg,True,train
1605,caa40cc2-be35-4dd2-b1b6-2be4d2b106f0.jpg,0,0,asparagus,data/predata\asparagus\caa40cc2-be35-4dd2-b1b6-2be4d2b106f0.jpg,True,train
1608,cb07c34a-7b1a-4287-9c99-fca8077b5f73.jpg,0,0,asparagus,data/predata\asparagus\cb07c34a-7b1a-4287-9c99-fca8077b5f73.jpg,True,val
